Team,Medal
Canada,Silver
Great Britain,Silver
Morocco,Silver
Morocco,Bronze
Switzerland,Silver
France,Bronze
Germany,Gold
Germany,Silver
Italy,Bronze
Italy,Gold
Italy,Silver
Italy,Gold
Austria,Gold
Australia,Bronze
Italy,Gold
Italy,Silver
Germany,Silver
Poland-2,Bronze
West Germany,Silver
West Germany,Silver
China,Gold
China,Gold
China,Bronze
China,Bronze
China,Bronze
China,Gold
China,Bronze
China,Gold
China,Bronze
Singapore,Silver
Singapore,Bronze
Singapore,Bronze
China,Gold
China,Gold
China,Gold
Austria,Silver
Austria,Silver
Austria,Gold
Austria,Silver
France,Bronze
France,Gold
United States,Bronze
United States,Gold
United States,Gold
United States,Bronze
United States,Gold
United States,Bronze
Jamaica,Gold
Jamaica,Silver
Hungary,Silver
Hungary,Gold
Hungary,Gold
Hungary,Gold
Hungary,Silver
Hungary,Bronze
Spain,Bronze
Soviet Union,Bronze
Russia,Silver
Russia,Bronze
France,Gold
